"","method","bias","rmse","coverage"
"1","RDD",-17.2233768341563,29.5818472250832,12.55
"2","RDD_half_bw",-17.4552909115243,36.6403911630436,8.7
"3","RDD_double_bw",-15.6382821645585,23.740651355551,14.61
"4","OLS",-9.78233135939525,14.4874651388153,15.04
"5","Forest_ATE",-1.48932642143169,24.9839025676669,5.47
"6","Forest_ATT",8.55107194077277,24.9137216411847,8.26
"7","Forest_overlap",-19.9740041387482,21.9472449264058,59.36
"8","Forest_close_ATE",-9.72855434012083,39.8558839930835,3.56
"9","Forest_close_ATT",-4.20254523127902,24.4698166755081,4.07999999999999
"10","Forest_close_overlap",-20.0949627897363,22.4660094893439,52.26
"11","Forest_very_close_ATE",-11.1108906919708,65.0719732470221,2.3
"12","Forest_very_close_ATT",-10.7087957550653,30.3761152792431,5.62
"13","Forest_very_close_overlap",-19.7000195263631,23.3652541213501,36.34
"14","McCrary",NA,NA,5.62
