"method","bias","rmse","coverage"
"RDD",-1.23761032165043,23.7531274514573,5.250501002004
"RDD_half_bw",-1.62390000302027,31.6761264638681,4.55911823647295
"RDD_double_bw",0.182850876414697,17.7170655879438,4.76953907815632
"OLS",11.1770814780468,15.4033642578886,17.7655310621242
"Forest_ATE",-0.440032622018993,17.7869330766266,5.03006012024048
"Forest_ATT",0.27327466348277,20.9879096318286,5.46092184368737
"Forest_overlap",-1.98967122043955,9.14330056559753,5.34068136272545
"Forest_close_ATE",-2.93194840995994,26.8467546264744,1.55310621242485
"Forest_close_ATT",-2.04794597081063,21.3886882607796,3.2565130260521
"Forest_close_overlap",-3.06668803324448,10.300413703469,6.06212424849699
"Forest_very_close_ATE",-4.79424993585725,45.5875352745075,1.23246492985972
"Forest_very_close_ATT",-3.53775751250803,26.1665767137034,2.77555110220441
"Forest_very_close_overlap",-3.86016526646181,12.9773687560358,5.98196392785572
"McCrary",NA,NA,5.60120240480962
