"method","bias","rmse","coverage"
"RDD",-2.0813180284718,21.5769734784257,5.5811623246493
"RDD_half_bw",-0.925638029489007,28.7191384399302,4.78957915831664
"RDD_double_bw",-9.40054362549595,19.5250555344693,10.9318637274549
"OLS",-71.9477358123372,72.655647002979,100
"Forest_ATE",-3.09635636141213,7.21692157495414,8.7374749498998
"Forest_ATT",-2.15323093356775,7.64892087453728,6.38276553106213
"Forest_overlap",-3.43594915060839,4.4595834906278,15.3907815631263
"Forest_close_ATE",-0.748493912940129,10.4427704289562,1.68336673346693
"Forest_close_ATT",-3.33813045553241,8.32682310857557,6.20240480961923
"Forest_close_overlap",0.0223815612422129,3.41037805278337,4.09819639278557
"Forest_very_close_ATE",2.64962051087856,17.3235989807187,1.74348697394789
"Forest_very_close_ATT",-2.45368857787932,9.61360287949744,3.66733466933867
"Forest_very_close_overlap",2.23241581062528,4.80528450814182,6.28256513026052
"McCrary",NA,NA,5.60120240480962
