"","method","bias","rmse","coverage"
"1","RDD",-0.512618047403907,20.1865170518592,5.58
"2","RDD_half_bw",-0.232673294078008,26.9904712119405,4.74
"3","RDD_double_bw",-2.59487335633324,15.328510217346,5.82
"4","OLS",-20.6737906095092,22.5103047140495,63.26
"5","Forest_ATE",-2.10986806193398,15.026099247918,5.1
"6","Forest_ATT",-1.52477847287053,15.7099500675605,5.21
"7","Forest_overlap",-2.33518281055099,6.63358397610732,6.15
"8","Forest_close_ATE",-1.62460015351797,23.5020561440063,1.47
"9","Forest_close_ATT",-3.95067684798509,16.4210981208667,3.68000000000001
"10","Forest_close_overlap",-0.0221444296737842,6.8884277157761,5.2
"11","Forest_very_close_ATE",-0.131220172181364,39.7943214008405,1.44
"12","Forest_very_close_ATT",-4.24226430156642,19.7139851460959,3.32
"13","Forest_very_close_overlap",1.55016717237026,8.80849479088702,5.31
"14","McCrary",NA,NA,5.62
