"","method","bias","rmse","coverage"
"1","RDD",0.148276823704414,23.402685377141,5.77
"2","RDD_half_bw",-0.250493003739795,31.0630084377332,5.16
"3","RDD_double_bw",1.62757422925559,17.6327418491811,5.38
"4","OLS",100.661066895622,101.198228549541,100
"5","Forest_ATE",97.3430811293448,100.590688054882,98.64
"6","Forest_ATT",100.095607285072,102.689680930844,98.08
"7","Forest_overlap",89.1183557764012,89.5368437630733,100
"8","Forest_close_ATE",64.6407301244045,76.2291973648183,74.87
"9","Forest_close_ATT",64.5670281448374,69.4485556926625,87.62
"10","Forest_close_overlap",61.85561050005,63.2981342929998,99.92
"11","Forest_very_close_ATE",37.6788780945095,77.7138289994957,18.03
"12","Forest_very_close_ATT",42.6965135794488,51.4175068286516,48.46
"13","Forest_very_close_overlap",41.7365451601164,43.9745352858972,89.13
"14","McCrary",NA,NA,6.08
