"method","bias","rmse","coverage"
"RDD",0.685936172023305,18.6008439753868,5.13026052104208
"RDD_half_bw",0.496781865447971,25.0480996338747,5.22044088176352
"RDD_double_bw",1.89584138880559,14.2350535845916,5.21042084168337
"OLS",396.808477471439,396.913499967045,100
"Forest_ATE",428.517471644566,428.815000426438,100
"Forest_ATT",440.974237080763,441.32032269747,100
"Forest_overlap",392.232632049923,392.296124510728,100
"Forest_close_ATE",289.623215102349,294.027108961163,99.8797595190381
"Forest_close_ATT",287.725400509119,291.539080012486,99.9899799599198
"Forest_close_overlap",275.512685191601,278.435183002221,100
"Forest_very_close_ATE",176.990253825295,186.620390480215,96.4529058116233
"Forest_very_close_ATT",194.716514975658,198.529709849994,99.8997995991984
"Forest_very_close_overlap",190.719937370584,192.997737511734,100
"McCrary",NA,NA,5.75150300601202
