"method","bias","rmse","coverage"
"RDD",0.150972158004237,53.1543696352493,5.79158316633267
"RDD_half_bw",-0.145604365024143,71.7327042294566,5.32064128256513
"RDD_double_bw",1.42292867869918,40.0752449812253,5.18036072144289
"OLS",13.2329183583372,27.0220838436544,8.12625250501002
"Forest_ATE",-0.0727951151027195,31.4708235859955,6.2625250501002
"Forest_ATT",-1.37061864268009,36.9879555117897,6.24248496993988
"Forest_overlap",1.76691081809797,20.2863826697921,4.8997995991984
"Forest_close_ATE",-3.28398515868406,45.0332909546928,1.8937875751503
"Forest_close_ATT",-2.77199766607018,38.1621231203616,3.97795591182365
"Forest_close_overlap",-0.999285242952197,22.6245326218923,5.12024048096192
"Forest_very_close_ATE",-6.54974505517344,75.5706129704588,1.56312625250501
"Forest_very_close_ATT",-4.05962152994384,47.0334843099489,3.61723446893788
"Forest_very_close_overlap",-3.35075108117526,28.6716466247761,5.36072144288577
"McCrary",NA,NA,6.38276553106212
