"","method","bias","rmse","coverage"
"1","RDD",-78.0230620500793,86.5829412325292,62.99
"2","RDD_half_bw",-87.7456753987624,99.9624933516522,47.42
"3","RDD_double_bw",-61.7759100110071,68.062098745117,67.06
"4","OLS",15.2210485023739,18.6427816143582,29.09
"5","Forest_ATE",1.52643715260482,26.720651422998,5.26
"6","Forest_ATT",1.26392133221839,23.9292288027881,5.51
"7","Forest_overlap",1.71043483815144,9.2480540117992,5.62
"8","Forest_close_ATE",-0.62179020638806,71.2657298240288,1.11
"9","Forest_close_ATT",0.0719328626454752,26.9498854942096,2.76999999999999
"10","Forest_close_overlap",0.973259733724531,11.5568047590051,4.88
"11","Forest_very_close_ATE",-1.94308374070536,86.7404959083253,1.25999999999999
"12","Forest_very_close_ATT",-1.14633780193003,29.799665725679,2.81
"13","Forest_very_close_overlap",-0.0881024308585021,14.2119366014949,4.9
"14","McCrary",NA,NA,100
