"","method","bias","rmse","coverage"
"1","RDD",-35.3324684851596,44.4340601969922,30.04
"2","RDD_half_bw",-52.5553481059189,63.0750629225682,36.35
"3","RDD_double_bw",-21.2790757908776,29.4437107543667,20.36
"4","OLS",14.036075061811,17.6889275121085,25.72
"5","Forest_ATE",0.338043809598011,24.3906743103738,5.41
"6","Forest_ATT",0.105496115478358,23.4890580763509,5.80000000000001
"7","Forest_overlap",0.514258897530546,9.10082319685218,5.24
"8","Forest_close_ATE",-1.94169210305139,46.2032729594982,1.35
"9","Forest_close_ATT",-1.25128927278553,24.8124923262552,2.96999999999999
"10","Forest_close_overlap",-0.603380518991511,10.4354375507712,4.82
"11","Forest_very_close_ATE",-3.5143414334189,80.3335882184813,1.37
"12","Forest_very_close_ATT",-2.84534039717286,29.8134624890191,2.91
"13","Forest_very_close_overlap",-1.78462743282386,13.2055706209296,4.98
"14","McCrary",NA,NA,100
