"","method","bias","rmse","coverage"
"1","RDD",-88.5747200301166,101.05059269233,46
"2","RDD_half_bw",-95.8783197588986,116.515704289159,31
"3","RDD_double_bw",-78.2987206657173,86.0449745852587,63.42
"4","OLS",4.02137774631978,11.4715213110284,6.67
"5","Forest_ATE",1.403309452366,23.8510983584649,5.43
"6","Forest_ATT",6.28599628920906,24.3577202287762,6.95
"7","Forest_overlap",-7.8158157799526,12.0066860981583,14.22
"8","Forest_close_ATE",-1.0120277489908,68.5642013288333,1.05
"9","Forest_close_ATT",-3.09167673067745,27.81403585724,2.81
"10","Forest_close_overlap",-6.98342736026294,14.3964573781928,9.52
"11","Forest_very_close_ATE",1.69949291265298,94.2378162877694,1.14
"12","Forest_very_close_ATT",-5.59336009277153,30.576839649358,3.67
"13","Forest_very_close_overlap",-7.31082144948285,17.2264329030579,8.44
"14","McCrary",NA,NA,100
