"","method","bias","rmse","coverage"
"1","RDD",0.493288543064324,48.202465975521,5.83
"2","RDD_half_bw",0.0600847494893992,63.8707533536422,5.03
"3","RDD_double_bw",1.90423912370776,36.3815095827478,5.81
"4","OLS",13.6619322833669,25.5574279541002,9.73000000000001
"5","Forest_ATE",0.746812977756976,35.5611037436806,6.00000000000001
"6","Forest_ATT",-0.0610421768209617,35.5813737257732,6.19
"7","Forest_overlap",1.42416295650367,18.1654669449392,5.12
"8","Forest_close_ATE",-2.24752945202483,52.5974032210493,1.67
"9","Forest_close_ATT",-1.81035523789763,36.533230719712,4.13
"10","Forest_close_overlap",-1.13285633805489,20.3367670467149,5.13
"11","Forest_very_close_ATE",-4.84380138864117,89.950623731143,1.43
"12","Forest_very_close_ATT",-3.0047874602807,44.0804206488719,3.48000000000001
"13","Forest_very_close_overlap",-2.77202584282311,25.4607626043367,5.3
"14","McCrary",NA,NA,6.6
