datadate,cpi
19470131,12.7251
19470228,12.8081
19470331,13.0332
19470430,13.0332
19470531,13.0036
19470630,13.0806
19470731,13.1694
19470831,13.2701
19470930,13.5308
19471031,13.5723
19471130,13.6611
19471231,13.8685
19480131,14.0284
19480229,14.0225
19480331,13.9218
19480430,14.1114
19480531,14.2239
19480630,14.3069
19480731,14.455
19480831,14.4727
19480930,14.4313
19481031,14.4017
19481130,14.3128
19481231,14.2476
19490131,14.2239
19490228,14.1647
19490331,14.1647
19490430,14.1706
19490531,14.1647
19490630,14.1706
19490731,14.0403
19490831,14.0403
19490930,14.0699
19491031,14.0225
19491130,14.0403
19491231,13.987
19500131,13.9277
19500228,13.987
19500331,14.0047
19500430,14.0107
19500531,14.0818
19500630,14.1469
19500731,14.2595
19500831,14.3365
19500930,14.4194
19501031,14.5142
19501130,14.5735
19501231,14.7986
19510131,15.0355
19510228,15.3021
19510331,15.3318
19510430,15.3555
19510531,15.3969
19510630,15.3614
19510731,15.3495
19510831,15.3199
19510930,15.4206
19511031,15.4976
19511130,15.5924
19511231,15.6813
19520131,15.6694
19520229,15.6457
19520331,15.6339
19520430,15.6754
19520531,15.6813
19520630,15.7168
19520731,15.8057
19520831,15.8116
19520930,15.7761
19521031,15.8116
19521130,15.8116
19521231,15.8235
19530131,15.782
19530228,15.7524
19530331,15.7761
19530430,15.8116
19530531,15.8175
19530630,15.859
19530731,15.8709
19530831,15.9064
19530930,15.9301
19531031,15.9656
19531130,15.9064
19531231,15.9182
19540131,15.9597
19540228,15.9893
19540331,15.9538
19540430,15.9123
19540531,15.9538
19540630,15.9597
19540731,15.9123
19540831,15.9064
19540930,15.8827
19541031,15.8294
19541130,15.8649
19541231,15.859
19550131,15.859
19550228,15.8886
19550331,15.8709
19550430,15.8709
19550531,15.859
19550630,15.8235
19550731,15.8531
19550831,15.8294
19550930,15.9064
19551031,15.8886
19551130,15.9242
19551231,15.9182
19560131,15.8945
19560229,15.9123
19560331,15.9301
19560430,15.9538
19560531,16.013
19560630,16.0841
19560731,16.1671
19560831,16.1789
19560930,16.2026
19561031,16.2974
19561130,16.2974
19561231,16.3685
19570131,16.3922
19570228,16.4692
19570331,16.5047
19570430,16.5462
19570531,16.5877
19570630,16.6528
19570731,16.7002
19570831,16.7536
19570930,16.7773
19571031,16.7773
19571130,16.8306
19571231,16.8661
19580131,16.9668
19580228,17.0024
19580331,17.1031
19580430,17.1445
19580531,17.1445
19580630,17.1268
19580731,17.1149
19580831,17.1445
19580930,17.1268
19581031,17.1268
19581130,17.1505
19581231,17.1623
19590131,17.186
19590228,17.1801
19590331,17.1623
19590430,17.1682
19590531,17.2038
19590630,17.2453
19590731,17.269
19590831,17.2867
19590930,17.3282
19591031,17.3874
19591130,17.3874
19591231,17.423
19600131,17.3993
19600229,17.423
19600331,17.423
19600430,17.5
19600531,17.5178
19600630,17.5415
19600731,17.5059
19600831,17.5415
19600930,17.5415
